항공사,출발지공항,스케줄타임
대한항공,칭다오,202403090905
대한항공,호찌민,202403090910
대한항공,방콕/수완나품,202403090915
대한항공,괌,202403090915
대한항공,시안,202403090920
대한항공,옌지(연길),202403090925
대한항공,보스턴,202403090930
대한항공,애틀랜타,202403090935
대한항공,디트로이트,202403090935
대한항공,괌,202403090935
대한항공,타이베이,202403090940
대한항공,싱가포르,202403090950
대한항공,도쿄/나리타,202403090955
대한항공,뉴욕/존에프케네디,202403091000
대한항공,삿포로,202403091005
대한항공,니가타,202403091005
대한항공,샤먼,202403091005
대한항공,오키나와,202403091010
대한항공,워싱턴,202403091015
대한항공,톈진,202403091015
대한항공,호찌민,202403091015
대한항공,댈러스포트워스,202403091020
대한항공,토론토,202403091020
대한항공,아오모리,202403091030
대한항공,나고야,202403091035
대한항공,자카르타/수카르노하타,202403091035
대한항공,하노이,202403091035
대한항공,홍콩,202403091040
대한항공,시카고/오헤어,202403091040
대한항공,하이커우,202403091045
대한항공,다낭,202403091045
대한항공,오사카/ 간사이,202403091050
대한항공,런던/히드로,202403091055
대한항공,후쿠오카,202403091105
대한항공,타슈켄트,202403091105
대한항공,쿠알라룸푸르,202403091105
대한항공,암스테르담,202403091110
대한항공,다낭,202403091110
대한항공,상하이/푸동,202403091110
대한항공,프랑크푸르트,202403091130
대한항공,덴파사르,202403091135
대한항공,파리/샤를드골,202403091145
대한항공,옌타이,202403091155
대한항공,칭다오,202403091200
대한항공,바르셀로나,202403091205
대한항공,파리/샤를드골,202403091210
대한항공,가오슝,202403091215
대한항공,상하이/푸동,202403091215
대한항공,타이베이,202403091225
대한항공,부다페스트,202403091245
대한항공,두바이,202403091245
대한항공,다롄(대련),202403091250
대한항공,삿포로,202403091255
대한항공,상하이/푸동,202403091255
대한항공,칭다오,202403091305
대한항공,후쿠오카,202403091310
대한항공,칭다오,202403091315
대한항공,신 울란바토르,202403091320
대한항공,도쿄/나리타,202403091335
대한항공,오이타,202403091350
대한항공,웨이하이,202403091400
대한항공,로마,202403091405
대한항공,김해,202403091415
대한항공,로스앤젤레스,202403091430
대한항공,선양(심양),202403091430
대한항공,자카르타/수카르노하타,202403091505
대한항공,오사카/ 간사이,202403091510
대한항공,푸꾸옥,202403091545
대한항공,시애틀,202403091600
대한항공,샌프란시스코,202403091600
대한항공,타이베이,202403091615
대한항공,광저우,202403091615
대한항공,덴파사르,202403091620
대한항공,상하이/푸동,202403091620
대한항공,쿠알라룸푸르,202403091640
대한항공,칭다오,202403091640
대한항공,푸켓,202403091655
대한항공,도쿄/나리타,202403091655
대한항공,방콕/수완나품,202403091710
대한항공,김해,202403091715
대한항공,방콕/수완나품,202403091720
대한항공,후쿠오카,202403091720
대한항공,덴파사르,202403091740
대한항공,아부다비,202403091745
대한항공,푸켓,202403091745
대한항공,오클랜드(뉴질랜드),202403091755
대한항공,호찌민,202403091755
대한항공,치앙마이,202403091805
대한항공,호찌민,202403091805
대한항공,하노이,202403091805
대한항공,밴쿠버,202403091820
대한항공,상하이/푸동,202403091825
대한항공,나트랑,202403091830
대한항공,다낭,202403091830
대한항공,마닐라,202403091835
대한항공,싱가포르,202403091835
대한항공,댈러스포트워스,202403091835
대한항공,후쿠오카,202403091840
대한항공,하노이,202403091840
대한항공,도쿄/나리타,202403091845
대한항공,시드니,202403091845
대한항공,애틀랜타,202403091845
대한항공,세부,202403091850
대한항공,프놈펜,202403091855
대한항공,나고야,202403091900
대한항공,베이징/서우두,202403091900
대한항공,방콕/수완나품,202403091905
대한항공,오사카/ 간사이,202403091905
대한항공,상하이/푸동,202403091905
대한항공,대구,202403091925
대한항공,미니애폴리스,202403091925
대한항공,김해,202403091935
대한항공,호찌민,202403091935
대한항공,비엔티안,202403091935
대한항공,로스앤젤레스,202403091940
대한항공,브리즈번,202403091945
대한항공,홍콩,202403092000
대한항공,마닐라,202403092005
대한항공,시애틀,202403092005
대한항공,세부,202403092005
대한항공,방콕/수완나품,202403092010
대한항공,방콕/수완나품,202403092015
대한항공,호놀룰루,202403092035
대한항공,뉴욕/존에프케네디,202403092035
대한항공,도쿄/하네다,202403092040
대한항공,타이베이,202403092055
대한항공,다낭,202403092110
대한항공,호놀룰루,202403092125
대한항공,클라크필드,202403092135
대한항공,싱가포르,202403092310
대한항공,두바이,202403092340
대한항공,신 울란바토르,202403100005
대한항공,암스테르담,202403100055
대한항공,나트랑,202403100615
대한항공,후쿠오카,202403100650
대한항공,김해,202403100700
대한항공,키타큐슈,202403100705
대한항공,옌타이,202403100725
대한항공,도쿄/나리타,202403100730
대한항공,마닐라,202403100745
대한항공,신 울란바토르,202403100745
대한항공,후쿠오카,202403100800
대한항공,하노이,202403100805
대한항공,오키나와,202403100805
대한항공,선전,202403100815
대한항공,홍콩,202403100820
대한항공,김해,202403100825
대한항공,상하이/푸동,202403100825
대한항공,삿포로,202403100830
대한항공,오카야마,202403100845
대한항공,선양(심양),202403100850
대한항공,오사카/ 간사이,202403100850
대한항공,광저우,202403100855
대한항공,장사,202403100855
대한항공,상하이/푸동,202403100855
대한항공,오사카/ 간사이,202403100900
대한항공,타이베이,202403100900
대한항공,칭다오,202403100905
대한항공,호찌민,202403100910
대한항공,방콕/수완나품,202403100915
